,surveyID,enum_no,Zone_NO,Class No,lat,lon,busi_activity,oper_time,home_del_pro,pick_take_away,deli_from,only_est,est_area,off_street_park,park_area,aload_docks,no_load_docks,full_emp,part_emp,work_shifts,load_share,to_2a,to_3w,to_bi,to_lt,to_ot,to_pi,owned_2a,owned_3w,owned_bi,owned_lt,owned_pi,owned_ot,leased_2a,leased_3w,leased_bi,leased_lt,leased_ot,leased_pi,len_m_100,len_m_300,len_m_500,len_m_750,NAICS_code,weekly_trucks,to_b3,to_tr,to_all_np
347,1346,1,1,4772,13.0329519,80.26767645,Pharma vendor,12.25889383,Yes,Yes,Several Individual warehouses,Yes,182.1557657,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.139646413,0.879929733,1.299187334,0.709249559,0.381681101,0.576866096,0,0,2,0,1,1,1,1,1,0,1,0,714.43,5669.470515,16998.83325,38665.62428,44,0,2.179117066,0.848895972,2
709,1708,1,1,4752,13.06426736,80.21131276,Building Material / Hardware,12.36881505,Yes,Yes,Several Individual warehouses,Yes,292.912282,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.824148399,0.554508856,0.001418015,0.978613968,0.361724146,0.675756944,0,1,1,0,1,0,0,0,0,1,1,1,876.86,7224.489803,17200.98608,44627.29423,44,0,0.555926871,1.802762367,0.142857143
569,1568,1,1,4772,13.05102646,80.23370186,Pharma vendor,15.03597569,Yes,Yes,From wholesale shops,Yes,389.2408228,Yes,20,Yes,1,0.082457593,2.08898165,Yes,Yes,0.879010375,0.71962376,0.687980247,0.197746783,0.179252765,0.661337478,1,1,0,1,0,1,1,1,2,1,0,0,804.43,6208.984025,18189.8711,40851.45539,44,0,1.407604007,1.076757157,1
1073,2072,1,1,4759,13.1848378,80.31295218,Electronics,11.34356971,Yes,Yes,Several Individual warehouses,Yes,24.60846513,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.773715141,0.121319213,0.140235828,0.750923432,0.164485691,0.519043713,0,1,1,0,1,0,0,1,0,0,0,1,1019.81,5023.72949,16566.6934,28710.31158,44,0,0.261555041,1.524638573,0.033333333
693,1692,1,1,4730,13.07673939,80.239221,Others,18.71226682,No,No,Central Warehouse of establishment,No,3921.692142,No,20,No,1,15.08245759,0.08898165,No,Yes,0.575174919,0.901163961,0.59870212,1.527348469,0.89051464,0.391540798,0,1,0,0,1,0,1,1,0,2,0,1,414.02,5797.531306,16997.17001,112661.4828,44,7,1.49986608,2.102523388,1
163,1162,1,1,4721,12.99244196,80.20557405,Food stores,12.60528606,Yes,Yes,Several Individual warehouses,Yes,222.4653879,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.418913058,0.13068671,0.917729499,0.685699694,0.958832232,0.06622786,1,1,0,0,1,0,1,0,0,0,0,1,710.31,7053.229368,19270.0083,37385.61499,44,0,1.048416209,1.104612752,0.714285714
128,1127,1,1,4773,12.98924543,80.20481108,Apparel / Accessory,11.23923093,Yes,Yes,Several Individual warehouses,Yes,84.31680035,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.125493445,0.667485669,0.453654863,0.881978784,0.338650208,0.667452349,1,1,1,0,0,0,1,1,1,0,1,0,589.61,6737.56546,18132.20266,79626.05447,44,0,1.121140531,1.007472229,0.571428571
673,1672,1,1,4663,13.06521951,80.21082727,Building Material / Hardware,10.77928983,Yes,Yes,Several Individual warehouses,Yes,667.8020125,Yes,20,Yes,1,2.082457593,0.08898165,Yes,No,0.356908996,0.679843254,0.482460295,0.84511116,0.610358516,1.344006726,0,1,1,1,0,0,0,1,1,0,0,2,924.79,6633.433075,17475.86246,45720.49741,42,0,1.162303549,1.202020156,1
605,1604,1,1,5610,13.05364657,80.26540919,Restaurant,16.83485846,Yes,Yes,Several Individual warehouses,Yes,353.2205928,Yes,20,Yes,1,14.08245759,0.08898165,Yes,No,0.390476239,0.471218349,0.849828832,0.535986899,0.247328818,2.818513079,1,1,0,1,1,1,0,0,1,0,0,0,888.77,5775.911684,14998.79057,35323.00856,31,0,1.321047181,0.926463139,2
422,1421,1,1,4649,13.03872247,80.25695823,Home furniture/ appliances,9.615555813,Yes,Yes,Several Individual warehouses,Yes,371.6284195,Yes,20,Yes,1,-0.917542407,0.08898165,Yes,No,0.022704958,0.225218451,0.669196405,0.629504825,0.92112286,0.029203525,0,0,0,1,1,0,0,1,1,1,0,1,1171.05,5945.201049,14813.22016,33916.81339,42,0,0.894414857,0.652209783,0.033333333
386,1385,1,1,4759,13.03682729,80.19788542,Electronics,12.38567437,No,No,Central Warehouse of establishment,No,294.0598966,No,20,No,1,2.082457593,0.08898165,No,No,0.640606921,0.788717099,1.792314038,0.13397606,0.732950804,0.564261432,1,1,2,1,0,0,1,0,0,1,1,1,1169.01,7353.897357,19418.0552,141514.6934,44,0,2.581031137,0.774582981,2
815,1814,1,1,4663,13.09010373,80.26400611,Building Material / Hardware,9.015753458,No,No,Several Individual warehouses,No,1070.850022,No,20,No,1,1.082457593,1.08898165,No,No,0.443891582,0.563801016,0.603554572,0.824876355,0.364427537,0.868050115,1,0,1,0,1,1,0,1,0,1,0,1,650.95,3238.538907,9039.503936,31209.32143,42,1,1.167355588,1.268767938,0.033333333
664,1663,1,1,4663,13.06281436,80.21186613,Building Material / Hardware,10.14144874,Yes,Yes,From wholesale shops,Yes,414.598676,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.396542859,0.053851453,0.075121094,0.037085579,0.143698181,0.548072248,0,0,0,1,1,0,0,1,1,0,1,1,1146.98,5715.505316,13648.42833,45668.70641,42,0,0.128972547,0.433628438,0.033333333
715,1714,1,1,9999,13.07415136,80.19960218,Others,11.97829313,Yes,Yes,Several Individual warehouses,Yes,791.8791163,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.630309608,0.578874076,0.868662906,0.816797412,0.550559121,0.003100521,0,0,2,0,1,0,0,0,1,1,0,1,880.61,7100.227112,18300.24358,35894.05349,44,0,1.447536982,1.44710702,0.285714286
1050,2049,1,1,9999,13.17000793,80.30456188,Building Material / Hardware,9.864323211,Yes,Yes,Several Individual warehouses,Yes,786.0597014,Yes,20,Yes,1,1.082457593,0.08898165,Yes,No,0.713998037,0.591409214,0.097635143,0.87017867,0.116886114,0.955825422,0,0,0,0,0,1,0,0,1,0,1,0,440.33,4072.848913,8209.451096,38505.18911,44,0,0.689044358,1.584176708,0.142857143
204,1203,1,1,9999,13.00115213,80.25649733,Building Material / Hardware,9.798059112,Yes,Yes,Central Warehouse of establishment,Yes,641.970866,Yes,20,Yes,1,0.082457593,0.08898165,Yes,No,0.363600424,0.926590725,0.440326804,0.628023846,0.052763636,1.133172451,0,1,1,1,0,0,0,1,0,1,1,1,627.85,1517.46368,5213.172616,32232.77236,44,0,1.366917529,0.99162427,0.142857143
